frame_size,loss,rtt,fec,protection_ratio,protection_absolute,size_bin
41,1,59,3.0,3.0,2.0,21-50
28,2,61,2.0,1.0,0.0,21-50
42,1,66,3.0,3.0,2.0,21-50
35,2,62,3.0,1.5,1.0,21-50
40,1,65,3.0,3.0,2.0,21-50
31,1,93,2.0,2.0,1.0,21-50
40,1,75,3.0,3.0,2.0,21-50
47,1,75,3.0,3.0,2.0,21-50
37,1,94,3.0,3.0,2.0,21-50
39,1,68,3.0,3.0,2.0,21-50
36,2,58,2.0,1.0,0.0,21-50
36,1,57,3.0,3.0,2.0,21-50
34,2,64,3.0,1.5,1.0,21-50
23,1,77,2.0,2.0,1.0,21-50
44,1,84,3.0,3.0,2.0,21-50
41,1,77,3.0,3.0,2.0,21-50
35,1,63,2.0,2.0,1.0,21-50
36,1,63,2.0,2.0,1.0,21-50
33,1,68,2.0,2.0,1.0,21-50
35,1,72,2.0,2.0,1.0,21-50
22,1,65,2.0,2.0,1.0,21-50
27,1,56,2.0,2.0,1.0,21-50
25,1,67,2.0,2.0,1.0,21-50
23,1,65,2.0,2.0,1.0,21-50
21,1,74,1.0,1.0,0.0,21-50
20,1,29,1.0,1.0,0.0,11-20
22,1,67,1.0,1.0,0.0,21-50
22,1,65,1.0,1.0,0.0,21-50
26,1,90,2.0,2.0,1.0,21-50
43,1,69,3.0,3.0,2.0,21-50
36,2,73,2.0,1.0,0.0,21-50
35,1,71,2.0,2.0,1.0,21-50
30,1,65,2.0,2.0,1.0,21-50
61,1,57,2.0,2.0,1.0,51-100
38,1,60,2.0,2.0,1.0,21-50
43,1,75,3.0,3.0,2.0,21-50
34,1,65,2.0,2.0,1.0,21-50
36,1,65,2.0,2.0,1.0,21-50
27,1,69,2.0,2.0,1.0,21-50
24,1,69,2.0,2.0,1.0,21-50
26,1,76,2.0,2.0,1.0,21-50
35,1,82,2.0,2.0,1.0,21-50
26,1,62,2.0,2.0,1.0,21-50
44,1,63,3.0,3.0,2.0,21-50
37,1,61,2.0,2.0,1.0,21-50
32,1,58,2.0,2.0,1.0,21-50
34,1,47,2.0,2.0,1.0,21-50
44,1,79,3.0,3.0,2.0,21-50
47,1,67,3.0,3.0,2.0,21-50
31,1,65,2.0,2.0,1.0,21-50
37,1,75,2.0,2.0,1.0,21-50
45,1,68,3.0,3.0,2.0,21-50
43,1,70,3.0,3.0,2.0,21-50
47,1,78,3.0,3.0,2.0,21-50
35,1,87,2.0,2.0,1.0,21-50
31,1,64,2.0,2.0,1.0,21-50
28,1,67,2.0,2.0,1.0,21-50
20,1,96,1.0,1.0,0.0,11-20
55,1,67,2.0,2.0,1.0,51-100
30,1,72,2.0,2.0,1.0,21-50
33,1,71,2.0,2.0,1.0,21-50
92,2,71,4.0,2.0,2.0,51-100
19,1,87,2.0,2.0,1.0,11-20
50,1,59,2.0,2.0,1.0,21-50
52,1,72,2.0,2.0,1.0,51-100
35,1,64,2.0,2.0,1.0,21-50
34,1,67,2.0,2.0,1.0,21-50
90,1,118,3.0,3.0,2.0,51-100
40,1,58,3.0,3.0,2.0,21-50
16,1,64,2.0,2.0,1.0,11-20
40,1,70,3.0,3.0,2.0,21-50
36,1,77,2.0,2.0,1.0,21-50
40,1,76,3.0,3.0,2.0,21-50
107,1,82,5.0,5.0,4.0,101-200
26,1,62,2.0,2.0,1.0,21-50
32,1,76,2.0,2.0,1.0,21-50
27,1,61,2.0,2.0,1.0,21-50
28,1,79,2.0,2.0,1.0,21-50
41,1,62,3.0,3.0,2.0,21-50
30,1,75,2.0,2.0,1.0,21-50
40,1,61,3.0,3.0,2.0,21-50
32,1,71,2.0,2.0,1.0,21-50
41,1,69,3.0,3.0,2.0,21-50
10,1,54,2.0,2.0,1.0,0-10
47,2,85,3.0,1.5,1.0,21-50
37,1,55,2.0,2.0,1.0,21-50
31,1,81,2.0,2.0,1.0,21-50
68,2,100,3.0,1.5,1.0,51-100
